 keyword	Units	Component	Where	Description	Internal
IMP_MX_L2	N-m	Tires	Dyn	Overturning moment at the tire CTC	VARIABLE
IMP_MX_R1	N-m	Tires	Dyn	Overturning moment at the tire CTC	VARIABLE
IMP_MX_R2	N-m	Tires	Dyn	Overturning moment at the tire CTC	VARIABLE
IMP_MY0_L1	N-m	Tires	Dyn	Spin moment at wheel center from tire	VARIABLE
IMP_MY0_L2	N-m	Tires	Dyn	Spin moment at wheel center from tire	VARIABLE
IMP_MY0_R1	N-m	Tires	Dyn	Spin moment at wheel center from tire	VARIABLE
IMP_MY0_R2	N-m	Tires	Dyn	Spin moment at wheel center from tire	VARIABLE
IMP_MYBK_L1	N-m	Brakes	Dyn	Brake moment L1	VARIABLE
IMP_MYBK_L2	N-m	Brakes	Dyn	Brake moment L2	VARIABLE
IMP_MYBK_R1	N-m	Brakes	Dyn	Brake moment R1	VARIABLE
IMP_MYBK_R2	N-m	Brakes	Dyn	Brake moment R2	VARIABLE
IMP_MYEXL1	N-m	Suspensions	Dyn	User-defined [sy] moment at L1 from the sprung mass	0
IMP_MYEXL2	N-m	Suspensions	Dyn	User-defined [sy] moment at L2 from the sprung mass	0
IMP_MYEXR1	N-m	Suspensions	Dyn	User-defined [sy] moment at R1 from the sprung mass	0
IMP_MYEXR2	N-m	Suspensions	Dyn	User-defined [sy] moment at R2 from the sprung mass	0
IMP_MYGEXL1	N-m	Suspensions	Dyn	User-defined [ny] moment at L1 from the inertial reference N	0
IMP_MYGEXL2	N-m	Suspensions	Dyn	User-defined [ny] moment at L2 from the inertial reference N	0
IMP_MYGEXR1	N-m	Suspensions	Dyn	User-defined [ny] moment at R1 from the inertial reference N	0
IMP_MYGEXR2	N-m	Suspensions	Dyn	User-defined [ny] moment at R2 from the inertial reference N	0
IMP_MYGEXT	N-m	Sprung mass	Dyn	User-defined [ny] moment on sprung mass from inertial reference frame	0
IMP_MYSM_L1	N-m	Powertrain	Dyn	Ext. moment applied from sprung mass to wheel L1	0
IMP_MYSM_L2	N-m	Powertrain	Dyn	Ext. moment applied from sprung mass to wheel L2	0
IMP_MYSM_R1	N-m	Powertrain	Dyn	Ext. moment applied from sprung mass to wheel R1	0
IMP_MYSM_R2	N-m	Powertrain	Dyn	Ext. moment applied from sprung mass to wheel R2	0
IMP_MYUSM_L1	N-m	Brakes	Dyn	Ext. moment applied from unsprung mass to wheel L1	0
IMP_MYUSM_L2	N-m	Brakes	Dyn	Ext. moment applied from unsprung mass to wheel L2	0
IMP_MYUSM_R1	N-m	Brakes	Dyn	Ext. moment applied from unsprung mass to wheel R1	0
IMP_MYUSM_R2	N-m	Brakes	Dyn	Ext. moment applied from unsprung mass to wheel R2	0
IMP_MY_AERO	N-m	Aerodynamics	Dyn	Y component of aero moment	VARIABLE
IMP_MY_EXT	N-m	Sprung mass	Dyn	User-defined [sy] moment on sprung mass from inertial reference frame	0
IMP_MY_L1	N-m	Tires	Dyn	Rolling-resistance at the tire CTC	VARIABLE
IMP_MY_L2	N-m	Tires	Dyn	Rolling-resistance at the tire CTC	VARIABLE
IMP_MY_OUT_D1_L	N-m	Powertrain	Dyn	Left output shaft torque of front diff	VARIABLE
IMP_MY_OUT_D1_R	N-m	Powertrain	Dyn	Right output shaft torque of front diff	VARIABLE
IMP_MY_R1	N-m	Tires	Dyn	Rolling-resistance at the tire CTC	VARIABLE
IMP_MY_R2	N-m	Tires	Dyn	Rolling-resistance at the tire CTC	VARIABLE
IMP_MZ0_L1	N-m	Tires	Dyn	Yaw moment at wheel center from tire	VARIABLE
IMP_MZ0_L2	N-m	Tires	Dyn	Yaw moment at wheel center from tire	VARIABLE
IMP_MZ0_R1	N-m	Tires	Dyn	Yaw moment at wheel center from tire	VARIABLE
IMP_MZ0_R2	N-m	Tires	Dyn	Yaw moment at wheel center from tire	VARIABLE
IMP_MZEXL1	N-m	Suspensions	Dyn	User-defined [sz] moment at L1 from the sprung mass	0
IMP_MZEXL2	N-m	Suspensions	Dyn	User-defined [sz] moment at L2 from the sprung mass	0
IMP_MZEXR1	N-m	Suspensions	Dyn	User-defined [sz] moment at R1 from the sprung mass	0
IMP_MZEXR2	N-m	Suspensions	Dyn	User-defined [sz] moment at R2 from the sprung mass	0
IMP_MZGEXL1	N-m	Suspensions	Dyn	User-defined [nz] moment at L1 from the inertial reference N	0
IMP_MZGEXL2	N-m	Suspensions	Dyn	User-defined [nz] moment at L2 from the inertial reference N	0
IMP_MZGEXR1	N-m	Suspensions	Dyn	User-defined [nz] moment at R1 from the inertial reference N	0
IMP_MZGEXR2	N-m	Suspensions	Dyn	User-defined [nz] moment at R2 from the inertial reference N	0
IMP_MZGEXT	N-m	Sprung mass	Dyn	User-defined [nz] moment on sprung mass from inertial reference frame	0
IMP_MZ_AERO	N-m	Aerodynamics	Dyn	Z component of aero moment	VARIABLE
IMP_MZ_EXT	N-m	Sprung mass	Dyn	User-defined [sz] moment on sprung mass from inertial reference frame	0
IMP_MZ_L1	N-m	Tires	Dyn	Aligning moment at the tire CTC	VARIABLE
IMP_MZ_L2	N-m	Tires	Dyn	Aligning moment at the tire CTC	VARIABLE
IMP_MZ_R1	N-m	Tires	Dyn	Aligning moment at the tire CTC	VARIABLE
IMP_MZ_R2	N-m	Tires	Dyn	Aligning moment at the tire CTC	VARIABLE
IMP_M_BOOST_EXT	N-m	Steering	Kin	Steering gear boost torque (applies to internal steer model only)	VARIABLE
IMP_M_DIFF_D1	N-m	Powertrain	Dyn	Torque difference of front diff. For HEV axle motor the internal value is 0.	VARIABLE
IMP_M_KP_L1	N-m	Steering	Kin	Kingpin torque reacted at sprung mass	VARIABLE
IMP_M_KP_L2	N-m	Steering	Kin	Kingpin torque reacted at sprung mass	VARIABLE
IMP_M_KP_R1	N-m	Steering	Kin	Kingpin torque reacted at sprung mass	VARIABLE
IMP_M_KP_R2	N-m	Steering	Kin	Kingpin torque reacted at sprung mass	VARIABLE
IMP_M_LOCKUP_CLUTCH_CAP	N-m	Powertrain	Dyn	Maximum torque capacity of the torque converter lockup clutch	VARIABLE
IMP_M_OUT_D3_F	N-m	Powertrain	Dyn	Front diff input shaft torque	VARIABLE
IMP_M_OUT_TC	N-m	Powertrain	Dyn	Output shaft torque of torque converter. When used with external torque converter the internal value is 0.	0
IMP_M_OUT_TR	N-m	Powertrain	Dyn	Transmission output shaft torque	VARIABLE
IMP_M_TBAR_EXT	N-m	Steering	Kin	Steering column reaction torque	VARIABLE
IMP_M_TIEROD_L1	N-m	Steering	Kin	Moment at Pitman arm L1 due to tie rod force	VARIABLE
IMP_M_TIEROD_L2	N-m	Steering	Kin	Moment at Pitman arm L2 due to tie rod force	VARIABLE
IMP_M_TIEROD_R1	N-m	Steering	Kin	Moment at Pitman arm R1 due to tie rod force	VARIABLE
IMP_M_TIEROD_R2	N-m	Steering	Kin	Moment at Pitman arm R2 due to tie rod force	VARIABLE
IMP_PBK_L1	MPa	Brakes	Dyn	Brake actuator pressure L1	VARIABLE
IMP_PBK_L2	MPa	Brakes	Dyn	Brake actuator pressure L2	VARIABLE
IMP_PBK_R1	MPa	Brakes	Dyn	Brake actuator pressure R1	VARIABLE
IMP_PBK_R2	MPa	Brakes	Dyn	Brake actuator pressure R2	VARIABLE
IMP_PCON_BK	MPa	Brakes	Dyn	Brake master cylinder pressure	VARIABLE
IMP_PCTL_L1	MPa	Brakes	Dyn	Control pressure (without dynamics) for brake actuator L1	VARIABLE
IMP_PCTL_L2	MPa	Brakes	Dyn	Control pressure (without dynamics) for brake actuator L2	VARIABLE
IMP_PCTL_R1	MPa	Brakes	Dyn	Control pressure (without dynamics) for brake actuator R1	VARIABLE
IMP_PCTL_R2	MPa	Brakes	Dyn	Control pressure (without dynamics) for brake actuator R2	VARIABLE
IMP_PDEL_L1	MPa	Brakes	Dyn	Delivery pressure (after proportioning) for brake L1	VARIABLE
IMP_PDEL_L2	MPa	Brakes	Dyn	Delivery pressure (after proportioning) for brake L2	VARIABLE
IMP_PDEL_R1	MPa	Brakes	Dyn	Delivery pressure (after proportioning) for brake R1	VARIABLE
IMP_PDEL_R2	MPa	Brakes	Dyn	Delivery pressure (after proportioning) for brake R2	VARIABLE
IMP_PITCH_AIM_SENSOR_1	deg	Sensors	State	Relative pitch (aim) of sensor	VARIABLE
IMP_PITCH_AIM_SENSOR_2	deg	Sensors	State	Relative pitch (aim) of sensor	VARIABLE
IMP_PITCH_OBJ_1	deg	Targets	State	Pitch angle of object 1	VARIABLE
IMP_PITCH_OBJ_2	deg	Targets	State	Pitch angle of object 2	VARIABLE
IMP_PLIN_L1	MPa	Brakes	Dyn	Brake line pressure L1 before proportioning	VARIABLE
IMP_PLIN_L2	MPa	Brakes	Dyn	Brake line pressure L2 before proportioning	VARIABLE
IMP_PLIN_R1	MPa	Brakes	Dyn	Brake line pressure R1 before proportioning	VARIABLE
IMP_PLIN_R2	MPa	Brakes	Dyn	Brake line pressure R2 before proportioning	VARIABLE
IMP_PWR_ENGINE_AV	kW	Powertrain	Ctl	Available power of external engine, needed for closed-loop speed control	VARIABLE
IMP_RELDISTFRBUMPER	m	VS Commands	State	(null)	0
IMP_RELPED_X_DIST	m	VS Commands	State	(null)	0
IMP_RELPED_Y_DIST	m	VS Commands	State	(null)	0
IMP_RELSPEEDOK	-	VS Commands	State	(null)	0
IMP_RM_TC	-	Powertrain	Dyn	Torque ratio: torque converter output / input	VARIABLE
IMP_ROLL_AIM_SENSOR_1	deg	Sensors	State	Relative roll (aim) of sensor	VARIABLE
IMP_ROLL_AIM_SENSOR_2	deg	Sensors	State	Relative roll (aim) of sensor	VARIABLE
IMP_ROLL_OBJ_1	deg	Targets	State	Roll angle of object 1	VARIABLE
