Time,Ay,AVz
        5.425, 0.102840594947, 4.43657493591
         5.45, 0.102092623711, 3.94176316261
        5.475, 0.100031234324, 3.35278320312
          5.5, 0.0965066701174, 2.69685578346
        5.525, 0.0913739055395, 2.00091791153
         5.55, 0.0845618546009, 1.29079449177
        5.575, 0.0760884582996, 0.589802861214
          5.6, 0.066222012043, -0.08041036129
        5.625, 0.0552838556468, -0.700834691525
         5.65, 0.043549284339, -1.25556099415
        5.675, 0.0311065874994, -1.73255395889
          5.7, 0.0182341877371, -2.12313818932
        5.725, 0.0053937076591, -2.42253804207
         5.75, -0.00709409546107, -2.6292078495
        5.775, -0.0189625192434, -2.74513745308
          5.8, -0.0299620013684, -2.77513790131
        5.825, -0.0398249477148, -2.72598910332
         5.85, -0.0483605079353, -2.60653758049
        5.875, -0.0554858408868, -2.42738819122
          5.9, -0.0611646398902, -2.20043706894
        5.925, -0.0653739348054, -1.93843650818
         5.95, -0.0681765377522, -1.65454041958
        5.975, -0.0696697160602, -1.36104297638
            6, -0.0699489563704, -1.06933498383
        6.025, -0.0691338703036, -0.789599120617
         6.05, -0.0673497468233, -0.530511498451
        6.075, -0.0646349936724, -0.298619508743
          6.1, -0.0611456185579, -0.0985207557678
        6.125, -0.0571193620563, 0.0668883919716
         6.15, -0.0527593232691, 0.196003496647
        6.175, -0.0482479892671, 0.28838211298
          6.2, -0.0437440760434, 0.344693362713
        6.225, -0.0393835417926, 0.366651296616
         6.25, -0.0352751873434, 0.35694989562
        6.275, -0.0315058045089, 0.319235682487
          6.3, -0.0281533449888, 0.257849097252
