Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.041, -0.000922659761272, 0.196837544441, 0.142171338201, -62.616104126, -107.831344604, 5093.51123047, -3.46236753464, 3.45778536797
        0.042, -0.000937621225603, 0.196761757135, 0.142055466771, -64.2825317383, -109.518753052, 5093.52539062, -3.44627571106, 3.52777695656
        0.043, -0.000948139117099, 0.196685791016, 0.141941040754, -65.8508377075, -111.168457031, 5093.54003906, -3.43050861359, 3.59626984596
        0.044, -0.00095453672111, 0.196610271931, 0.141828402877, -67.2802734375, -112.775253296,  5093.5546875, -3.41511440277, 3.66307878494
        0.045, -0.000957373296842, 0.196535766125, 0.14171782136, -68.5419082642, -114.335571289, 5093.56933594, -3.4001262188, 3.72807693481
        0.046, -0.00095737806987, 0.196462720633, 0.141609445214, -69.6196289062, -115.847587585, 5093.58447266, -3.38556289673,  3.7912003994
        0.047, -0.000955376948696, 0.196391507983, 0.141503348947, -70.5100479126, -117.311210632, 5093.59960938, -3.37142658234, 3.85244679451
        0.048, -0.000952220638283, 0.196322366595, 0.141399547458, -71.2214126587, -118.72794342, 5093.61523438, -3.35770606995, 3.91187143326
        0.049, -0.000948721193708, 0.196255475283, 0.141297921538, -71.7716827393, -120.100593567, 5093.63085938, -3.34437775612, 3.96957683563
         0.05, -0.000945602485444, 0.196190968156, 0.141198337078, -72.1861801147, -121.433006287, 5093.64697266, -3.33140897751, 4.02570199966
        0.051, -0.000943465100136, 0.196128919721, 0.141100600362, -72.4949798584, -122.729644775, 5093.66357422, -3.31876111031, 4.08040952682
        0.052, -0.000942765793297, 0.196069434285, 0.141004487872, -72.7303771973, -123.995315552,  5093.6796875, -3.30639219284, 4.13387393951
        0.053, -0.000943809573073, 0.196012586355, 0.140909776092, -72.9245605469, -125.234794617, 5093.69677734, -3.29426050186, 4.18626880646
        0.054, -0.000946753367316, 0.195958480239, 0.140816226602, -73.107635498, -126.452568054, 5093.71386719, -3.28232645988,  4.2377576828
        0.055, -0.000951618421823, 0.19590716064, 0.140723645687, -73.3061141968, -127.652626038, 5093.73144531, -3.27055478096, 4.28848648071
        0.056, -0.000958310964052, 0.195858642459, 0.140631869435, -73.541847229, -128.83833313, 5093.74902344, -3.2589161396, 4.33857870102
        0.057, -0.000966647814494, 0.195812866092, 0.140540763736, -73.8314819336, -130.012298584, 5093.76708984, -3.24738693237, 4.38813066483
        0.058, -0.000976385548711, 0.195769742131, 0.140450209379, -74.1863021851, -131.17640686, 5093.78515625, -3.23595070839, 4.43721246719
        0.059, -0.000987249426544, 0.195729061961, 0.140360146761, -74.6125183105, -132.331832886, 5093.80419922, -3.22459626198, 4.48586893082
         0.06, -0.000998959876597, 0.195690572262, 0.140270531178, -75.1118545532, -133.479141235, 5093.82324219, -3.21331906319, 4.53412246704
        0.061, -0.00101125356741, 0.195654004812, 0.140181362629, -75.6823196411, -134.618377686, 5093.84326172, -3.20211791992, 4.58197689056
        0.062, -0.00102389859967, 0.195619001985, 0.140092641115, -76.3190841675, -135.749176025, 5093.86328125, -3.19099569321, 4.62942171097
        0.063, -0.00103670195676, 0.195585235953, 0.140004366636, -77.0153961182, -136.870941162, 5093.88427734, -3.17995762825, 4.67643690109
        0.064, -0.00104951264802, 0.195552304387, 0.139916583896, -77.7633743286, -137.982849121,    5093.90625, -3.16901016235, 4.72299575806
        0.065, -0.00106221879832, 0.195519894361, 0.139829322696,   -78.5546875, -139.084075928, 5093.92871094, -3.15816044807, 4.76906919479
        0.066, -0.00107474357355, 0.195487618446, 0.139742612839, -79.3811035156, -140.173751831, 5093.95214844, -3.14741587639, 4.81462860107
        0.067, -0.00108703854494, 0.195455178618, 0.139656484127, -80.2348403931, -141.251068115,  5093.9765625, -3.1367828846, 4.85964679718
        0.068, -0.00109907751903, 0.195422336459, 0.139570951462, -81.1088485718, -142.315338135, 5094.00244141, -3.12626767159, 4.90409946442
        0.069, -0.00111084978562, 0.195388898253, 0.139486059546, -81.9969100952, -143.365936279, 5094.02929688, -3.11587524414, 4.94796705246
         0.07, -0.00112235487904, 0.195354759693, 0.139401823282, -82.8936767578, -144.402374268, 5094.05761719, -3.10561013222, 4.99123334885
        0.071, -0.00113359757233, 0.195319905877, 0.139318242669, -83.794631958, -145.42427063, 5094.08740234, -3.09547519684, 5.03388547897
        0.072, -0.00114458391909, 0.195284381509, 0.139235347509, -84.6960144043, -146.431335449, 5094.11865234, -3.08547329903, 5.07591485977
        0.073, -0.0011553192744, 0.195248305798, 0.139153167605, -85.5946807861, -147.423370361, 5094.15185547, -3.07560658455, 5.11731529236
        0.074, -0.00116580747999, 0.195211857557, 0.139071688056, -86.4880218506, -148.400238037, 5094.18603516, -3.06587600708, 5.15808343887
        0.075, -0.00117605167907, 0.195175215602, 0.138990953565, -87.373840332, -149.361862183, 5094.22265625, -3.05628299713, 5.19821834564
        0.076, -0.00118605629541, 0.195138633251, 0.138910964131, -88.2503128052, -150.308227539, 5094.26123047, -3.04682803154, 5.23772001266
        0.077, -0.00119583006017, 0.195102319121, 0.138831749558, -89.1159591675, -151.239349365, 5094.30126953, -3.03751134872, 5.27659034729
        0.078, -0.00120538775809, 0.195066526532, 0.138753309846, -89.9696655273, -152.155288696,    5094.34375, -3.02833294868, 5.31483364105
        0.079, -0.00121475267224, 0.195031449199, 0.138675659895, -90.8107223511, -153.056182861, 5094.38818359,  -3.019292593, 5.35245513916
         0.08, -0.00122395670041, 0.194997280836, 0.138598814607, -91.6388702393, -153.942230225, 5094.43457031, -3.01038861275, 5.38946342468
        0.081, -0.00123304035515, 0.194964185357, 0.138522788882, -92.4543609619, -154.813674927, 5094.48339844, -3.00161957741,  5.4258685112
        0.082, -0.00124205043539, 0.19493226707, 0.138447582722, -93.2579727173, -155.670837402, 5094.53466797, -2.9929831028, 5.46168375015
        0.083, -0.00125103839673, 0.194901615381, 0.138373166323, -94.0510177612, -156.514129639, 5094.58789062, -2.98447608948,   5.496925354
        0.084, -0.0012600569753, 0.194872274995, 0.138299569488, -94.8352661133, -157.344009399, 5094.64404297, -2.97609519958, 5.53161048889
        0.085, -0.001269157161, 0.194844245911, 0.138226747513, -95.6129150391, -158.161010742, 5094.70214844, -2.96783566475, 5.56575965881
        0.086, -0.00127838586923, 0.194817483425, 0.138154700398, -96.3864746094, -158.965667725, 5094.76269531, -2.95969343185, 5.59939432144
        0.087, -0.00128778303042, 0.194791927934, 0.138083413243, -97.1586151123, -159.758560181, 5094.82617188, -2.95166325569, 5.63253593445
        0.088, -0.00129737949464, 0.194767534733, 0.138012841344, -97.9321136475, -160.540298462, 5094.89160156, -2.94374036789, 5.66520738602
        0.089, -0.00130719516892, 0.194744184613,  0.1379429847, -98.7096176147, -161.311416626, 5094.95996094, -2.93592023849, 5.69743013382
         0.09, -0.00131723855156, 0.194721803069, 0.137873798609, -99.493598938, -162.072463989,    5095.03125, -2.9281976223, 5.72922468185
        0.091, -0.00132750661578, 0.194700300694, 0.137805268168, -100.286186218, -162.823928833, 5095.10498047, -2.92056870461, 5.76061010361
        0.092, -0.00133798480965, 0.194679558277, 0.137737393379, -101.089065552, -163.566207886, 5095.18115234, -2.91302990913, 5.79160261154
        0.093, -0.00134864926804, 0.194659501314, 0.137670129538, -101.903434753, -164.299682617, 5095.26074219, -2.90557813644,  5.8222155571
        0.094, -0.0013594685588, 0.194640040398, 0.137603476644, -102.729942322, -165.024597168, 5095.34277344, -2.89821100235, 5.85245990753
        0.095, -0.00137040647678, 0.194621101022, 0.137537434697, -103.568717957, -165.741149902, 5095.42773438, -2.89092683792, 5.88234376907
        0.096, -0.00138142425567, 0.194602608681, 0.137471988797, -104.419364929, -166.449462891,   5095.515625, -2.8837249279, 5.91187238693
        0.097, -0.00139248359483, 0.194584518671, 0.137407138944, -105.281051636, -167.14956665, 5095.60644531, -2.87660455704, 5.94104862213
        0.098, -0.00140354817268, 0.194566771388, 0.137342885137, -106.152587891, -167.841461182, 5095.70019531, -2.86956620216, 5.96987247467
        0.099, -0.00141458620783, 0.194549322128, 0.137279257178, -107.03250885, -168.525100708, 5095.79736328, -2.8626101017, 5.99834442139
          0.1, -0.00142557104118, 0.194532155991, 0.137216240168, -107.919204712, -169.200439453, 5095.89746094, -2.8557369709, 6.02646255493
        0.101, -0.00143648230005, 0.194515272975, 0.137153849006, -108.81098175, -169.867370605, 5096.00048828, -2.84894800186, 6.05422449112
        0.102, -0.00144730589818, 0.194498613477, 0.137092098594, -109.706192017, -170.525817871, 5096.10693359,  -2.842243433, 6.08162879944
        0.103, -0.00145803426858, 0.194482222199, 0.137031003833, -110.603279114, -171.175720215, 5096.21630859, -2.83562469482,  6.1086730957
        0.104, -0.00146866566502, 0.194466084242, 0.136970564723, -111.50087738, -171.81703186, 5096.32910156, -2.82909202576, 6.13535737991
        0.105, -0.0014792032307, 0.194450199604, 0.136910796165, -112.39781189, -172.449737549,  5096.4453125, -2.82264590263, 6.16168165207
        0.106, -0.0014896542998, 0.194434598088, 0.13685169816, -113.293182373, -173.07383728, 5096.56445312, -2.81628656387, 6.18764638901
